place_id,name,address,latitude,longitude,rating,num_reviews,food_types,price_level,hours
ChIJyRcYDYQUdkgR7YW24EBmYmw,KFC,"374 High Rd, Harrow HA3 6HE, UK",51.6071789,-0.3398872,3,2024,"fast_food_restaurant, meal_takeaway, restaurant",PRICE_LEVEL_INEXPENSIVE,Monday: 10:00 AM – 12:00 AM; Tuesday: 10:00 AM – 12:00 AM; Wednesday: 10:00 AM – 12:00 AM; Thursday: 10:00 AM – 12:00 AM; Friday: 10:00 AM – 2:00 AM; Saturday: 10:00 AM – 2:00 AM; Sunday: 10:00 AM – 12:00 AM
ChIJXw5Od5ETdkgR_XV_Z3Rkuws,Claypot Kerala Restaurant & Cafe,"5, Cumberland Court, Princes Dr, Harrow HA1 4UD, UK",51.5932646,-0.3388969,4.6,415,"meal_takeaway, indian_restaurant, restaurant",N/A,Monday: 12:00 – 10:00 PM; Tuesday: Closed; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: 12:00 – 10:00 PM
ChIJ1Uq1jM4RdkgRr7_gGvMNIRo,Restaurant Miorița,"215-219 High Rd, London HA3 5EE, UK",51.601214299999995,-0.338731,4.3,1054,"italian_restaurant, restaurant",PRICE_LEVEL_MODERATE,Monday: Closed; Tuesday: Closed; Wednesday: 5:00 – 10:00 PM; Thursday: 5:00 – 10:00 PM; Friday: 12:00 – 11:30 PM; Saturday: 12:00 PM – 1:30 AM; Sunday: 12:00 PM – 12:00 AM
ChIJD0VfOmoUdkgRVNB_YhXcYv4,Sahara Lounge,"7-9 Stanmore Hill, Stanmore HA7 3DP, UK",51.6179257,-0.3119458,4.3,1219,"restaurant, lebanese_restaurant, middle_eastern_restaurant, mediterranean_restaurant",PRICE_LEVEL_MODERATE,Monday: 12:00 PM – 3:00 AM; Tuesday: 12:00 PM – 3:00 AM; Wednesday: 12:00 PM – 3:00 AM; Thursday: 12:00 PM – 3:00 AM; Friday: 12:00 PM – 4:00 AM; Saturday: 12:00 PM – 4:00 AM; Sunday: 12:00 PM – 3:00 AM
ChIJxTHwKngUdkgRjpt3EGChqs4,Tian Hu Chinese Restaurant,"498 Kenton Ln, Belmont Cir, Stanmore, Harrow HA3 8RD, UK",51.601248999999996,-0.318911,4.5,572,"bar, restaurant",PRICE_LEVEL_MODERATE,"Monday: Closed; Tuesday: 12:00 – 2:15 PM, 5:00 – 10:00 PM; Wednesday: 12:00 – 2:15 PM, 5:00 – 10:00 PM; Thursday: 12:00 – 2:15 PM, 5:00 – 10:00 PM; Friday: 12:00 – 2:15 PM, 5:00 – 11:00 PM; Saturday: 12:00 – 2:15 PM, 5:00 – 11:00 PM; Sunday: 5:00 – 10:30 PM"
ChIJWTSE52oUdkgRm9ETpSYVt3U,Nando's Stanmore,"The Broadway, Stanmore HA7 4EB, UK",51.617795,-0.31088699999999997,4.3,1039,"restaurant, meal_delivery, food_delivery",PRICE_LEVEL_MODERATE,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM; Thursday: 11:00 AM – 10:00 PM; Friday: 11:00 AM – 10:00 PM; Saturday: 11:00 AM – 10:00 PM; Sunday: 11:00 AM – 10:00 PM
ChIJ5zPT0uwVdkgRadNeBAp_HC4,The Seven,"Kenton Ln, Harrow HA3 6AW, UK",51.610365599999994,-0.3302236,4.2,822,"indian_restaurant, bar, restaurant",PRICE_LEVEL_MODERATE,Monday: 12:00 – 11:30 PM; Tuesday: 12:00 – 11:30 PM; Wednesday: 12:00 – 11:30 PM; Thursday: 12:00 – 11:30 PM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:30 AM; Sunday: 12:00 – 11:30 PM
ChIJV1V4kl8VdkgRX_m0eYGrWRk,Yoko Sizzlers,"16 Church Rd, Stanmore HA7 4AR, UK",51.6174396,-0.3116636,4.6,930,"steak_house, indian_restaurant, restaurant",N/A,"Monday: 5:30 – 10:30 PM; Tuesday: 12:30 – 3:00 PM, 5:30 – 10:30 PM; Wednesday: 12:30 – 3:00 PM, 5:30 – 10:30 PM; Thursday: 12:30 – 3:00 PM, 5:30 – 10:30 PM; Friday: 12:30 – 3:00 PM, 5:30 – 11:00 PM; Saturday: 12:30 – 11:30 PM; Sunday: 12:30 – 10:30 PM"
ChIJd0KxKmoUdkgRuYinR0Xq3wA,Spice Rack Lounge,"35 Church Rd, Stanmore HA7 4AR, UK",51.617202899999995,-0.312971,4.3,1670,"restaurant, indian_restaurant, bar",PRICE_LEVEL_MODERATE,Monday: 12:00 – 10:00 PM; Tuesday: 12:00 – 10:00 PM; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: 12:00 – 10:00 PM
ChIJw9MlqH4TdkgRtEqc6dVUxbs,Masa Restaurant,"24-26 Headstone Dr, Harrow HA3 5QH, UK",51.593888899999996,-0.3366667,4.5,1462,"afghani_restaurant, fine_dining_restaurant, dessert_restaurant, middle_eastern_restaurant, meal_takeaway, vegetarian_restaurant, restaurant",PRICE_LEVEL_MODERATE,Monday: 1:00 – 11:00 PM; Tuesday: 1:00 – 11:00 PM; Wednesday: 1:00 – 11:00 PM; Thursday: 1:00 – 11:00 PM; Friday: 1:00 – 11:00 PM; Saturday: 1:00 – 11:00 PM; Sunday: 1:00 – 11:00 PM
ChIJRcUS2QYTdkgRpAHTGz_weWs,Banju Korean Restaurant,"108 High St, Harrow HA3 7AH, UK",51.5964563,-0.3352142,4.9,238,"korean_restaurant, restaurant",N/A,"Monday: 5:30 – 9:30 PM; Tuesday: 12:00 – 3:00 PM, 5:30 – 9:30 PM; Wednesday: 12:00 – 3:00 PM, 5:30 – 9:30 PM; Thursday: 12:00 – 3:00 PM, 5:30 – 9:30 PM; Friday: 12:00 – 3:00 PM, 5:30 – 10:00 PM; Saturday: 12:00 – 3:00 PM, 5:30 – 10:00 PM; Sunday: Closed"
