name,address,latitude,longitude,rating,num_reviews,food_types,price_level,hours,place_id
The Garden House,"Beaverbrook, Reigate Rd, Leatherhead KT22 8QX, UK",51.2778888,-0.3064308,4.6,193,N/A,N/A,"Monday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Tuesday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Wednesday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Thursday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Friday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Saturday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Sunday: 12:00 – 3:00 PM, 6:00 – 9:00 PM",ChIJgettoDvhdUgR9cFOG7wUR6w
Running Horse,"38 Bridge St, Leatherhead KT22 8BZ, UK",51.294436399999995,-0.3321231,4.3,619,"pub, bar",PRICE_LEVEL_MODERATE,Monday: 5:00 – 11:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 10:00 PM,ChIJXWVysvzgdUgRi0SxevVm_IU
Han Kitchen Restaurant,"31 High St, Leatherhead KT22 8AB, UK",51.295401899999995,-0.3281756,4.9,197,turkish_restaurant,N/A,Monday: 12:00 – 11:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 11:00 PM,ChIJ6zhX2EjhdUgRz7SCgmDEqxg
Sunshine Cafe Leatherhead,"55 High St, Leatherhead KT22 8AG, UK",51.295566699999995,-0.327196,4.6,269,"cafe, breakfast_restaurant, brunch_restaurant",PRICE_LEVEL_INEXPENSIVE,Monday: 8:00 AM – 4:00 PM; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: 9:00 AM – 4:00 PM,ChIJn4wuZ_3gdUgRFGT3JFjrcKE
Five Rivers Indian Restaurant Leatherhead,"12-14 Bridge St, Leatherhead KT22 8BZ, UK",51.2950752,-0.3307601,4.2,289,"indian_restaurant, asian_restaurant",PRICE_LEVEL_MODERATE,Monday: Closed; Tuesday: 5:00 – 10:00 PM; Wednesday: 5:00 – 10:00 PM; Thursday: 5:00 – 10:00 PM; Friday: 5:00 – 11:00 PM; Saturday: 5:00 – 11:00 PM; Sunday: 5:00 – 10:00 PM,ChIJQUXWxPzgdUgR2sG0dKgTMAM
Domino's Pizza - Leatherhead,"2 Sunmead Cl, Fetcham, Leatherhead KT22 9AL, UK",51.2920874,-0.33716579999999996,3.7,180,"meal_delivery, food_delivery, meal_takeaway",PRICE_LEVEL_MODERATE,Monday: 11:30 AM – 11:00 PM; Tuesday: 11:30 AM – 11:00 PM; Wednesday: 11:30 AM – 11:00 PM; Thursday: 11:30 AM – 11:00 PM; Friday: 11:30 AM – 11:00 PM; Saturday: 11:30 AM – 11:00 PM; Sunday: 11:30 AM – 11:00 PM,ChIJcz21cuXgdUgRNa6l0i8bma4
Piazza Firenze - Leatherhead,"45-47 High St, Leatherhead KT22 8AG, UK",51.295518099999995,-0.32750209999999996,4.5,388,italian_restaurant,PRICE_LEVEL_MODERATE,Monday: 12:00 – 10:00 PM; Tuesday: 12:00 – 10:00 PM; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 – 10:30 PM; Saturday: 12:00 – 10:30 PM; Sunday: 12:00 – 10:00 PM,ChIJn4wuZ_3gdUgRTAuIa1kfMMA
Subway,"14 High St, Leatherhead KT22 8AN, UK",51.2952906,-0.32851559999999996,4.4,143,sandwich_shop,PRICE_LEVEL_INEXPENSIVE,Monday: 10:00 AM – 8:00 PM; Tuesday: 10:00 AM – 8:00 PM; Wednesday: 10:00 AM – 8:00 PM; Thursday: 10:00 AM – 8:00 PM; Friday: 10:00 AM – 10:00 PM; Saturday: 10:00 AM – 10:00 PM; Sunday: 10:00 AM – 8:00 PM,ChIJUT-BWVrhdUgRnHkwr_CMMx8
Zen Garden Chinese Restaurant,"1 Guildford Rd, Fetcham, Leatherhead KT22 9AL, UK",51.29174,-0.33762070000000005,4.2,258,"chinese_restaurant, asian_restaurant, meal_takeaway",PRICE_LEVEL_MODERATE,"Monday: 12:00 – 2:30 PM, 5:00 – 10:00 PM; Tuesday: Closed; Wednesday: 12:00 – 2:30 PM, 5:00 – 10:00 PM; Thursday: 12:00 – 2:30 PM, 5:00 – 10:00 PM; Friday: 12:00 – 2:30 PM, 5:00 – 10:00 PM; Saturday: 12:00 – 2:30 PM, 5:00 – 10:00 PM; Sunday: 12:00 – 2:30 PM, 5:00 – 10:00 PM",ChIJcz21cuXgdUgROfpWnFBuIoA
Thai Pinto Restaurant & Bar,"36-38 High St, Leatherhead KT22 8AJ, UK",51.295400099999995,-0.32682479999999997,4.3,192,"thai_restaurant, bar",PRICE_LEVEL_MODERATE,"Monday: Closed; Tuesday: 12:00 – 3:00 PM, 5:00 – 10:00 PM; Wednesday: 12:00 – 3:00 PM, 5:00 – 10:00 PM; Thursday: 12:00 – 3:00 PM, 5:00 – 10:00 PM; Friday: 12:00 – 3:00 PM, 5:00 – 10:00 PM; Saturday: 5:00 – 10:00 PM; Sunday: 1:00 – 9:00 PM",ChIJ84hGoALhdUgR0v_OAbQsVo0
Tops Pizza Leatherhead,"46a High St, Leatherhead KT22 8AJ, UK",51.2954273,-0.32675329999999997,4.3,188,"meal_delivery, pizza_restaurant, food_delivery, italian_restaurant, meal_takeaway",PRICE_LEVEL_INEXPENSIVE,Monday: 11:30 AM – 2:00 AM; Tuesday: 11:30 AM – 2:00 AM; Wednesday: 11:30 AM – 2:00 AM; Thursday: 11:30 AM – 2:00 AM; Friday: 11:30 AM – 4:00 AM; Saturday: 11:30 AM – 4:00 AM; Sunday: 11:30 AM – 2:00 AM,ChIJnezn9C8y30cR-bcnZTeMMjM
The Dining Room - Japanese Grill,"Beaverbrook, Reigate Rd, Leatherhead KT22 8QX, UK",51.277066999999995,-0.3123913,4.7,95,japanese_restaurant,N/A,"Monday: 6:00 – 9:00 PM; Tuesday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Wednesday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Thursday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Friday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Saturday: 12:00 – 3:00 PM, 6:00 – 9:00 PM; Sunday: 12:00 – 3:00 PM, 6:00 – 9:00 PM",ChIJCbbvoDvhdUgRTs015zTFKLw
Mrs Beeton’s Restaurant,"3A Mickleham Dr, Mickleham, Dorking RH5 6DP, UK",51.273321,-0.3146389,4.8,4,N/A,N/A,N/A,ChIJtQ5uPgDhdUgRQUBXL6PqM2c
Botan Kebabs,"13 Bridge St, Leatherhead KT22 8BL, UK",51.294937499999996,-0.3302218,4.4,358,fast_food_restaurant,PRICE_LEVEL_MODERATE,Monday: 3:00 – 11:30 PM; Tuesday: 3:00 – 11:30 PM; Wednesday: 3:00 – 11:30 PM; Thursday: 3:00 – 11:30 PM; Friday: 3:00 PM – 1:25 AM; Saturday: 3:00 PM – 1:25 AM; Sunday: 3:00 – 11:30 PM,ChIJscyd2fzgdUgRYmlJqJCUDPg
Inn on the Green,"Dorking Rd, Tadworth KT20 5RX, UK",51.290935999999995,-0.226067,4.6,1001,"pub, bar",PRICE_LEVEL_MODERATE,Monday: 12:00 – 11:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 10:00 PM,ChIJqYjNoQ7jdUgR5s8EnvJ6MR0
